TDBC_NaOH_c2_1mmK_abs-2,,
Wavelength (nm),Abs,
1053.5,-0.004549874924,
1053,-0.004612374119,
1052.5,-0.004561812151,
1052,-0.004533326719,
1051.5,-0.004556227941,
1051,-0.004689972848,
1050.5,-0.004633836914,
1050,-0.004568984266,
1049.5,-0.004619442858,
1049,-0.004679678474,
1048.5,-0.004627690185,
1048,-0.004486957099,
1047.5,-0.004589065909,
1047,-0.004729202483,
1046.5,-0.004787374754,
1046,-0.004800636321,
1045.5,-0.00482951384,
1045,-0.004791675601,
1044.5,-0.004763973411,
1044,-0.004873645492,
1043.5,-0.00484917406,
1043,-0.00491516199,
1042.5,-0.004903541878,
1042,-0.004701496568,
1041.5,-0.004878201522,
1041,-0.00495360326,
1040.5,-0.004987844732,
1040,-0.004809596576,
1039.5,-0.004986871965,
1039,-0.005075610708,
1038.5,-0.005015634932,
1038,-0.004977096338,
1037.5,-0.004966501612,
1037,-0.00506087346,
1036.5,-0.00496865157,
1036,-0.004958107602,
1035.5,-0.005092496518,
1035,-0.005080420524,
1034.5,-0.0050955154,
1034,-0.00504680071,
1033.5,-0.00513511803,
1033,-0.00526725268,
1032.5,-0.005192570388,
1032,-0.005255488679,
1031.5,-0.005285767838,
1031,-0.005299525801,
1030.5,-0.005305611994,
1030,-0.005298451986,
1029.5,-0.005321159028,
1029,-0.005451192614,
1028.5,-0.005392649211,
1028,-0.005308629479,
1027.5,-0.005351075903,
1027,-0.005398478359,
1026.5,-0.005345297512,
1026,-0.005471386947,
1025.5,-0.005594220012,
1025,-0.00561548071,
1024.5,-0.005674913991,
1024,-0.005709353834,
1023.5,-0.005711244419,
1023,-0.005765862297,
1022.5,-0.00577112427,
1022,-0.00575589994,
1021.5,-0.005708127748,
1021,-0.005806680769,
1020.5,-0.005819553509,
1020,-0.005893770605,
1019.5,-0.006050897297,
1019,-0.006041196641,
1018.5,-0.006091995165,
1018,-0.005976707209,
1017.5,-0.006122062914,
1017,-0.006181528792,
1016.5,-0.006154272705,
1016,-0.006032465491,
1015.5,-0.006112976465,
1015,-0.006214601453,
1014.5,-0.006262165029,
1014,-0.00631987676,
1013.5,-0.006354112644,
1013,-0.006351357792,
1012.5,-0.006457313895,
1012,-0.006350388285,
1011.5,-0.006480470765,
1011,-0.006673482247,
1010.5,-0.00661219703,
1010,-0.00660827104,
1009.5,-0.006694894284,
1009,-0.006762794685,
1008.5,-0.006788738538,
1008,-0.006712482311,
1007.5,-0.006748726126,
1007,-0.006876854692,
1006.5,-0.00685713347,
1006,-0.006794447079,
1005.5,-0.007008359302,
1005,-0.007113849744,
1004.5,-0.007167730946,
1004,-0.007231585681,
1003.5,-0.007308158092,
1003,-0.00748456968,
1002.5,-0.007427164819,
1002,-0.007474697195,
1001.5,-0.007440600544,
1001,-0.007435104344,
1000.5,-0.007525887806,
1000,-0.007523750886,
999.5,-0.00763476314,
999,-0.007758816704,
998.5,-0.007857515477,
998,-0.00774233928,
997.5,-0.007824771106,
997,-0.007740661036,
996.5,-0.007783582434,
996,-0.007895799354,
995.5,-0.008138183504,
995,-0.008388354443,
