TDBC_NaOH_c3_abs,,
Wavelength (nm),Abs,
1095,0.001321078511,
1094,0.001486947644,
1093,0.001384774921,
1092,0.001414510072,
1091,0.0013790878,
1090,0.001439857879,
1089,0.001313834451,
1088,0.001447519753,
1087,0.00145661016,
1086,0.001354184933,
1085,0.001421677996,
1084,0.001526067266,
1083,0.001320533338,
1082,0.00142284669,
1081,0.001485856599,
1080,0.001450999989,
1079,0.001389111741,
1078,0.001537912991,
1077,0.001512169838,
1076,0.001458921703,
1075,0.001519521116,
1074,0.001547498978,
1073,0.001527496031,
1072,0.001622323063,
1071,0.001391241211,
1070,0.001571113942,
1069,0.001457155566,
1068,0.001554902876,
1067,0.00145105191,
1066,0.001521001803,
1065,0.001577401068,
1064,0.001520560239,
1063,0.00158337655,
1062,0.001482765656,
1061,0.001539939316,
1060,0.001459389227,
1059,0.001572906505,
1058,0.001498688362,
1057,0.001469155191,
1056,0.001448039198,
1055,0.001423210255,
1054,0.001404147944,
1053,0.00156261865,
1052,0.001326738857,
1051,0.001453545294,
1050,0.001381710637,
1049,0.001381191309,
1048,0.001320299576,
1047,0.001384593197,
1046,0.001337982016,
1045,0.001411367673,
1044,0.001318508061,
1043,0.001367402263,
1042,0.001122570829,
1041,0.001497986959,
1040,0.001269515487,
1039,0.001359767863,
1038,0.00126427121,
1037,0.001423651702,
1036,0.001115174382,
1035,0.001188730006,
1034,0.001176789985,
1033,0.001251887763,
1032,0.001181072788,
1031,0.001317807008,
1030,0.001152288052,
1029,0.001263128943,
1028,0.001271488494,
1027,0.001136481878,
1026,0.001107700053,
1025,0.001313496847,
1024,0.001146500115,
1023,0.0009944859194,
1022,0.001122025889,
1021,0.001094646403,
1020,0.001026737154,
1019,0.001160152373,
1018,0.001239764271,
1017,0.001045549288,
1016,0.001054423745,
1015,0.0010114545,
1014,0.001002503093,
1013,0.001031537424,
1012,0.001053152257,
1011,0.000946074666,
1010,0.001023441902,
1009,0.000984990038,
1008,0.001069448423,
1007,0.0008436919888,
1006,0.001109283185,
1005,0.000923271873,
1004,0.000909575203,
1003,0.0009076037677,
1002,0.0009465416078,
1001,0.0007897219039,
1000,0.0009893747047,
999,0.0007319727447,
998,0.0008241623873,
997,0.0006840833812,
996,0.0007970351144,
995,0.000633503194,
994,0.0008808862185,
993,0.0007241161657,
992,0.0007555434131,
991,0.0006839796552,
990,0.0008080051048,
989,0.0004994461779,
988,0.000715689268,
987,0.0005775114987,
986,0.0006037955754,
985,0.0005468486925,
984,0.0006217598566,
983,0.0005275916192,
982,0.0005164472968,
981,0.0005352632725,
980,0.0005641626776,
979,0.0003815455129,
978,0.0005454750499,
977,0.0004941594088,
976,0.0003991379053,
975,0.0005072209751,
974,0.0004419170436,
973,0.0004593304766,
972,0.0004676487297,
971,0.0004566613934,
970,0.0003321663244,
969,0.0004781180469,
968,0.0003640056821,
967,0.0003793432843,
966,0.0003624512174,
965,0.0004350762465,
964,0.0002162016463,
963,0.0003094216227,
962,0.0003599122865,
961,0.0003730475437,
960,0.0002497160458,
959,0.0004352057877,
958,0.0003448344069,
957,0.0004005629453,
956,0.0003865459294,
955,0.0004546919954,
954,0.0001957161294,
953,0.000451711996,
952,0.0003830223286,
951,0.0003802501014,
950,0.0004315781407,
949,0.0005553759984,
948,0.0004055635654,
947,0.0006663498352,
946,0.0006686831475,
945,0.0006401656428,
944,0.000672597962,
943,0.0008227100479,
942,0.0007208231837,
941,0.0008284935611,
940,0.0009931367822,
939,0.0007831089897,
938,0.0008030257886,
937,0.0007817345904,
936,0.0007046697428,
935,0.0007466751267,
934,0.0009464378236,
933,0.00087873335,
932,0.0008530810592,
931,0.0008931034827,
930,0.0008042965201,
929,0.0007197600789,
928,0.0009356978117,
927,0.0007908110856,
926,0.0007324654143,
925,0.0007964126999,
924,0.000935619988,
923,0.0008329804405,
922,0.0008760357741,
921,0.0009015338146,
920,0.0007520687068,
919,0.000734591682,
918,0.0008405796252,
917,0.0006628498668,
916,0.0008995105163,
915,0.0006923022447,
914,0.0007953753229,
913,0.000674438721,
912,0.0007721915026,
911,0.0005333194276,
910,0.0006355252117,
909,0.0006538538146,
908,0.0006855871179,
907,0.0006023439346,
906,0.0006766165025,
905,0.0005827992572,
904,0.0006224598037,
903,0.0003985678777,
902,0.0006013329839,
901,0.0003371143539,
900,0.0004378488229,
899,0.0003879450378,
898,0.0003650678846,
897,0.0002575640974,
896,0.0003634875175,
895,0.0002341240179,
894,0.0002656971919,
893,0.0002056868252,
892,0.0002546372416,
891,-0.00010782756,
890,-7.366521459E-5,
889,0.0001085016484,
888,3.81058162E-5,
887,0.0002131196816,
886,-0.0001002189019,
885,-9.587104432E-5,
884,-0.0002916886588,
883,-0.0001501126681,
882,-0.0003573899157,
881,-0.0002725454688,
880,-0.0004159435921,
879,-0.0003561484045,
878,-0.0005853530602,
877,-0.0005494185025,
876,-0.0007885468658,
875,-0.0006523022312,
874,-0.0009963978082,
873,-0.000880317355,
872,-0.001074903645,
871,-0.0008881706744,
870,-0.001187576214,
869,-0.001095199259,
868,-0.001240804093,
867,-0.001240236219,
866,-0.001367265009,
865,-0.001412369078,
864,-0.001483473345,
863,-0.001535736374,
862,-0.001805618638,
861,-0.001795100863,
860,-0.001990205608,
859,-0.002019218868,
858,-0.002068429021,
857,-0.002206033096,
856,-0.00237556966,
855,-0.002458871575,
854,-0.002643592888,
853,-0.002717737108,
852,-0.002866193419,
851,-0.003022002522,
