810,0000;913,349
811,0000;866,469
812,0000;918,929
813,0000;994,158
814,0000;955,761
815,0000;992,409
816,0000;1048,89
817,0000;1002,73
818,0000;1105,66
819,0000;1035,91
820,0000;1107,15
821,0000;1140,53
822,0000;1208,25
823,0000;1178,35
824,0000;1087,9
825,0000;1122,16
826,0000;1235,12
827,0000;1197,24
828,0000;1326,36
829,0000;1324,53
830,0000;1277,39
831,0000;1386,16
832,0000;1433,25
833,0000;1402,08
834,0000;1294,85
835,0000;1365,95
836,0000;1544,16
837,0000;1422,12
838,0000;1455,19
839,0000;1413,74
840,0000;1444,51
841,0000;1679,49
842,0000;1429,99
843,0000;1493,55
844,0000;1525,33
845,0000;1714,77
846,0000;1691,89
847,0000;1624,58
848,0000;1819,25
849,0000;1669,82
850,0000;1652,92
851,0000;1810,61
852,0000;1848,13
853,0000;1752,99
854,0000;1799,94
855,0000;1824,53
856,0000;1885,27
857,0000;1990,61
858,0000;1814,49
859,0000;2118,69
860,0000;2098,47
861,0000;2036,45
862,0000;2005,85
863,0000;1970,27
864,0000;2217,13
865,0000;2221,83
866,0000;1943,55
867,0000;2112,46
868,0000;2205,32
869,0000;2061,76
870,0000;2279,42
871,0000;2211,14
872,0000;2395,51
873,0000;2260,21
874,0000;2435,37
875,0000;2375,38
876,0000;2428,49
877,0000;2483,82
878,0000;2274,03
879,0000;2440,07
880,0000;2450,1
881,0000;2601,29
882,0000;2424,51
883,0000;2679,24
884,0000;2726,72
885,0000;2585,77
886,0000;2727,7
887,0000;2545,67
888,0000;2544,69
889,0000;2368,54
890,0000;2712,8
891,0000;2604,86
892,0000;2611,12
893,0000;2637,37
894,0000;2741,75
895,0000;2795,72
896,0000;2860,12
897,0000;3049,05
898,0000;3004,93
899,0000;2783,12
900,0000;3023,62

##### Extended Information
[Comments]
Sample name;TDBC_NaOH_c5_em
Comment;-
User
Division
Company;Microsoft

[Detailed Information]
Creation date;17.03.2014 23:50

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Int.
Start;570 nm
End;900 nm
Data interval;1 nm
Data points;331     

[Measurement Information]
Model name;FP-8600
Serial No.;C003561454
  Ex filter holder;None
  Em filter holder;None

Accessory;SCE-846
Accessory S/N;C002561454

Accessory;FDP-837
Accessory S/N;
  Polarizer;Ex 0 degree, Em 0 degree

Measurement date;17.03.2014 23:50

Mode;Emission
Ex bandwidth;5 nm
Em bandwidth;5 nm
Response;0.5 sec
Sensitivity;High
Measurement range;570 - 900 nm
Data interval;1 nm
Ex wavelength;560.0 nm
Scan speed;100 nm/min
Auto gain;Off
Shutter control;Open only for measurement
Light source;Xe lamp
Filter;Stop scan for exchanging filter
Blank correction;Off
Spectral correction;On
Ex correction data;Ex-PL-Wlamp-P0deg_5nm
Em correction data;Em_Hal-lamp_P0deg_5nm

